INLINE MonsterItemChanceList,Item1Chance,Item2Chance,Item3Chance,Item4Chance,Item5Chance
GorgonEgg,0x00,0x46,0x00,0x1E,0x00
Venonat,0x14,0x46,0x0A,0x00,0x00
Venomoth,0x00,0x1E,0x1E,0x28,0x00
Diglett,0x0A,0x14,0x14,0x0A,0x28
Dugtrio,0x28,0x0F,0x0F,0x1E,0x00
Meowth,0x19,0x19,0x0A,0x14,0x14
Persian,0x14,0x14,0x0A,0x31,0x01
Psyduck,0x32,0x05,0x0F,0x1E,0x00
Golduck,0x1A,0x1A,0x15,0x1A,0x01
Mankey,0x00,0x64,0x00,0x00,0x00
Primeape,0x00,0x19,0x19,0x19,0x19
Growlithe,0x00,0x00,0x00,0x64,0x00
Arcanine,0x00,0x00,0x64,0x00,0x00
Poliwag,0x05,0x05,0x01,0x04,0x55
Poliwhirl,0x0F,0x1E,0x0F,0x1E,0x0A
Poliwrath,0x00,0x1C,0x16,0x32,0x00
Abra,0x05,0x19,0x37,0x0F,0x00
Kadabra,0x1E,0x1E,0x0A,0x1E,0x00
Alakazam,0x5A,0x00,0x0A,0x00,0x00
Machop,0x1D,0x1D,0x0D,0x1D,0x00
Machoke,0x01,0x01,0x5F,0x01,0x02
Machamp,0x00,0x0A,0x3C,0x1E,0x00
Bellsprout,0x00,0x00,0x00,0x00,0x00
Weepinbell,0x00,0x00,0x00,0x00,0x00
Victreebel,0x00,0x00,0x00,0x00,0x00
Tentacool,0x00,0x00,0x00,0x00,0x00
Tentacruel,0x00,0x00,0x00,0x00,0x00
Geodude,0x00,0x00,0x00,0x00,0x00
Graveller,0x00,0x00,0x00,0x00,0x00
Phantom,0x00,0x00,0x00,0x00,0x00
Golem,0x00,0x00,0x00,0x00,0x00
Ponyta,0x00,0x00,0x00,0x00,0x00
Rapidash,0x00,0x00,0x00,0x00,0x00
Slowpoke,0x00,0x00,0x00,0x00,0x00
Slowbro,0x00,0x00,0x00,0x00,0x00
Magnemite,0x00,0x00,0x00,0x00,0x00
Magneton,0x00,0x00,0x00,0x00,0x00
Farfetchd,0x00,0x00,0x00,0x00,0x00
Doduo,0x00,0x00,0x00,0x00,0x00
Dodrio,0x00,0x00,0x00,0x00,0x00
Seel,0x00,0x00,0x00,0x00,0x00
Dewgong,0x00,0x00,0x00,0x00,0x00
Grimer,0x00,0x00,0x00,0x00,0x00
Unused5,0x00,0x00,0x00,0x00,0x00
Unused6,0x00,0x00,0x00,0x00,0x00
Unused7,0x00,0x00,0x00,0x00,0x00
GorgonEgg2,0x00,0x00,0x00,0x00,0x00
Unused8,0x00,0x00,0x00,0x00,0x00
Deathgoyle,0x00,0x00,0x00,0x00,0x00
DracoZombie,0x00,0x00,0x00,0x00,0x00
DemonKing,0x00,0x00,0x00,0x00,0x00
Unused8,0x00,0x00,0x00,0x00,0x00
Unused9,0x00,0x00,0x00,0x00,0x00
Unused10,0x00,0x00,0x00,0x00,0x00
Unused11,0x00,0x00,0x00,0x00,0x00
Unused12,0x00,0x00,0x00,0x00,0x00
Unused13,0x00,0x00,0x00,0x00,0x00
Civilian1,0x00,0x00,0x00,0x00,0x00
Civilian2,0x00,0x00,0x00,0x00,0x00
Civilian3,0x00,0x00,0x00,0x00,0x00
Civilian4,0x00,0x00,0x00,0x00,0x00
Civilian5,0x00,0x00,0x00,0x00,0x00
Unused14,0x00,0x00,0x00,0x00,0x00
Unused15,0x00,0x00,0x00,0x00,0x00
sfx,0x00,0x00,0x00,0x00,0x00
openball,0x00,0x00,0x00,0x00,0x00
pokeballred,0x00,0x00,0x00,0x00,0x00
pokeballgold,0x00,0x00,0x00,0x00,0x00
Unused16,0x00,0x00,0x00,0x00,0x00
Unused17,0x00,0x00,0x00,0x00,0x00
blank,0x00,0x00,0x00,0x00,0x00
Unused18,0x00,0x00,0x00,0x00,0x00
Bush,0x00,0x00,0x00,0x00,0x00
ElderBael,0x00,0x00,0x00,0x00,0x00
Journeyman,0x00,0x00,0x00,0x00,0x00
Pupil,0x00,0x00,0x00,0x00,0x00
Muk,0x00,0x00,0x00,0x00,0x00
Shellder,0x00,0x00,0x00,0x00,0x00
Cloyster,0x00,0x00,0x00,0x00,0x00
Gastly,0x00,0x00,0x00,0x00,0x00
Haunter,0x00,0x00,0x00,0x00,0x00
Gengar,0x00,0x00,0x00,0x00,0x00
Onix,0x00,0x00,0x00,0x00,0x00
Drowzee,0x00,0x00,0x00,0x00,0x00
Hypno,0x00,0x00,0x00,0x00,0x00
Krabby,0x00,0x00,0x00,0x00,0x00
Kingler,0x00,0x00,0x00,0x00,0x00
Voltorb,0x00,0x00,0x00,0x00,0x00
Electrode,0x00,0x00,0x00,0x00,0x00
Exeggcute,0x00,0x00,0x00,0x00,0x00
Exeggutor,0x00,0x00,0x00,0x00,0x00
Cubone,0x00,0x00,0x00,0x00,0x00
Marowak,0x00,0x00,0x00,0x00,0x00
Hitmonlee,0x00,0x00,0x00,0x00,0x00
Hitmonchan,0x00,0x00,0x00,0x00,0x00
Lickitung,0x00,0x00,0x00,0x00,0x00
Koffing,0x00,0x00,0x00,0x00,0x00
Weezing,0x00,0x00,0x00,0x00,0x00
Rhyhorn,0x00,0x00,0x00,0x00,0x00
Rhydon,0x00,0x00,0x00,0x00,0x00
Chansey,0x00,0x00,0x00,0x00,0x00
Tangela,0x00,0x00,0x00,0x00,0x00
Kangaskhan,0x00,0x00,0x00,0x00,0x00
Horsea,0x00,0x00,0x00,0x00,0x00
Seadra,0x00,0x00,0x00,0x00,0x00
Goldeen,0x00,0x00,0x00,0x00,0x00
Seaking,0x00,0x00,0x00,0x00,0x00
Staryu,0x00,0x00,0x00,0x00,0x00
Starmie,0x00,0x00,0x00,0x00,0x00
Mr. Mime,0x00,0x00,0x00,0x00,0x00
Scyther,0x00,0x00,0x00,0x00,0x00
Jynx,0x00,0x00,0x00,0x00,0x00
Electabuzz,0x00,0x00,0x00,0x00,0x00
Magmar,0x00,0x00,0x00,0x00,0x00
Pinsir,0x00,0x00,0x00,0x00,0x00
Tauros,0x00,0x00,0x00,0x00,0x00
Magikarp,0x00,0x00,0x00,0x00,0x00
Gyarados,0x00,0x00,0x00,0x00,0x00
Lapras,0x00,0x00,0x00,0x00,0x00
Ditto,0x00,0x00,0x00,0x00,0x00
Eevee,0x00,0x00,0x00,0x00,0x00
Vaporeon,0x00,0x00,0x00,0x00,0x00
Jolteon,0x00,0x00,0x00,0x00,0x00
Flareon,0x00,0x00,0x00,0x00,0x00
Porygon,0x00,0x00,0x00,0x00,0x00
Omanyte,0x00,0x00,0x00,0x00,0x00
Omastar,0x00,0x00,0x00,0x00,0x00
Kabuto,0x00,0x00,0x00,0x00,0x00
Kabutops,0x00,0x00,0x00,0x00,0x00
Aerodactyl,0x00,0x00,0x00,0x00,0x00
Snorlax,0x00,0x00,0x00,0x00,0x00
Articuno,0x00,0x00,0x00,0x00,0x00
Zapdos,0x00,0x00,0x00,0x00,0x00
Moltres,0x00,0x00,0x00,0x00,0x00
Dratini,0x00,0x00,0x00,0x00,0x00
Dragonair,0x00,0x00,0x00,0x00,0x00
Dragonite,0x00,0x00,0x00,0x00,0x00
Mewtwo,0x00,0x00,0x00,0x00,0x00
Mew,0x00,0x00,0x00,0x00,0x00
Unused19,0x00,0x00,0x00,0x00,0x00
Unused20,0x00,0x00,0x00,0x00,0x00
Unused21,0x00,0x00,0x00,0x00,0x00
Unused22,0x00,0x00,0x00,0x00,0x00
Unused23,0x00,0x00,0x00,0x00,0x00
Unused24,0x00,0x00,0x00,0x00,0x00
Unused25,0x00,0x00,0x00,0x00,0x00
Unused26,0x00,0x00,0x00,0x00,0x00
Unused27,0x00,0x00,0x00,0x00,0x00
Unused28,0x00,0x00,0x00,0x00,0x00
Unused29,0x00,0x00,0x00,0x00,0x00
Unused30,0x00,0x00,0x00,0x00,0x00
Unused31,0x00,0x00,0x00,0x00,0x00
Unused32,0x00,0x00,0x00,0x00,0x00
Unused33,0x00,0x00,0x00,0x00,0x00
Unused34,0x00,0x00,0x00,0x00,0x00
Unused35,0x00,0x00,0x00,0x00,0x00
Treeko,0x00,0x00,0x00,0x00,0x00
Unused36,0x00,0x00,0x00,0x00,0x00
Unused37,0x00,0x00,0x00,0x00,0x00
Unused38,0x00,0x00,0x00,0x00,0x00
Unused39,0x00,0x00,0x00,0x00,0x00
Unused40,0x00,0x00,0x00,0x00,0x00
Unused41,0x00,0x00,0x00,0x00,0x00
Unused42,0x00,0x00,0x00,0x00,0x00
Unused43,0x00,0x00,0x00,0x00,0x00
Crobat,0x00,0x00,0x00,0x00,0x00
Unused44,0x00,0x00,0x00,0x00,0x00
Unused45,0x00,0x00,0x00,0x00,0x00
Unused46,0x00,0x00,0x00,0x00,0x00
Unused47,0x00,0x00,0x00,0x00,0x00
Unused48,0x00,0x00,0x00,0x00,0x00
Unused49,0x00,0x00,0x00,0x00,0x00
Unused50,0x00,0x00,0x00,0x00,0x00
Unused51,0x00,0x00,0x00,0x00,0x00
Unused52,0x00,0x00,0x00,0x00,0x00
Unused53,0x00,0x00,0x00,0x00,0x00
Unused54,0x00,0x00,0x00,0x00,0x00
Unused55,0x00,0x00,0x00,0x00,0x00
Unused56,0x00,0x00,0x00,0x00,0x00
Unused57,0x00,0x00,0x00,0x00,0x00
Unused58,0x00,0x00,0x00,0x00,0x00
Unused59,0x00,0x00,0x00,0x00,0x00
Unused60,0x00,0x00,0x00,0x00,0x00
Unused61,0x00,0x00,0x00,0x00,0x00
Unused62,0x00,0x00,0x00,0x00,0x00
Unused63,0x00,0x00,0x00,0x00,0x00
Unused64,0x00,0x00,0x00,0x00,0x00
Unused65,0x00,0x00,0x00,0x00,0x00
Unused66,0x00,0x00,0x00,0x00,0x00
Unused67,0x00,0x00,0x00,0x00,0x00
Unused68,0x00,0x00,0x00,0x00,0x00
Unused69,0x00,0x00,0x00,0x00,0x00
Unused70,0x00,0x00,0x00,0x00,0x00
Unused71,0x00,0x00,0x00,0x00,0x00
Unused72,0x00,0x00,0x00,0x00,0x00
Unused73,0x00,0x00,0x00,0x00,0x00
Unused74,0x00,0x00,0x00,0x00,0x00
Unused75,0x00,0x00,0x00,0x00,0x00
Unused76,0x00,0x00,0x00,0x00,0x00
Unused77,0x00,0x00,0x00,0x00,0x00
Unused78,0x00,0x00,0x00,0x00,0x00
Unused79,0xFF,0x00,0x00,0x00,0x00
Unused80,0xFF,0x00,0x00,0x00,0x00
